127.0.0.1 - - [17/Apr/2020:22:44:11 -0300] "GET / HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/ HTTP/1.1" 200 3438
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/css/empresa-sel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/js/functions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/js/grid.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/js/parceiros.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/img/rist_erp_verde.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/icons/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:20 -0300] "GET /rest-risterp/img/rist_erp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:24 -0300] "GET /rest-risterp/rest/usuarios/validar/MANUEL.TUSSET/1234 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:24 -0300] "GET /rest-risterp/rest/usuarios_empresas/empresas/1 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:32 -0300] "GET /rest-risterp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:32 -0300] "GET /rest-risterp/icons/rist_erp_verde_ico.ico HTTP/1.1" 200 105669
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:33 -0300] "GET /rest-risterp/rest/usuarios/validar/MANUEL.TUSSET/1234 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:44:33 -0300] "GET /rest-risterp/rest/usuarios_empresas/empresas/1 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:45:01 -0300] "GET /rest-risterp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:22:45:01 -0300] "GET /rest-risterp/icons/rist_erp_verde_ico.ico HTTP/1.1" 200 105669
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:43:57 -0300] "GET /rest-risterp/rest/usuarios/validar/MANUEL.TUSSET/1234 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:43:57 -0300] "GET /rest-risterp/rest/usuarios_empresas/empresas/1 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:47:32 -0300] "GET /rest-risterp/ HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:47:32 -0300] "GET /rest-risterp/css/estilos.css HTTP/1.1" 200 2171
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:47:32 -0300] "GET /rest-risterp/css/empresa-sel.css HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:47:32 -0300] "GET /rest-risterp/js/functions.js HTTP/1.1" 200 3749
